1	2	3	879485318
1	4	5	879270459
1	7	4	879539794
1	14	1	874834944
1	5	3	874834944
1	12	4	874834944
1	9	4	874834944
1	13	3	874834944
2	3	4	886176814
2	7	4	892738452
2	14	5	877881320
2	11	2	874833878
2	1	4	887736532
2	5	2	879196566
2	9	5	892430094
2	8	2	883748450
2	2	4	875747401
3	2	5	876861185
3	1	3	877052329
3	4	3	877052329
3	6	4	877052329
3	9	1	882075827
3	7	5	882075827
3	13	4	879539727
3	10	4	880731963
4	14	3	884238860
4	4	4	886890835
4	7	5	886890835
4	10	1	878962623
4	3	5	891295330
4	6	1	874791932
5	3	4	891350932
5	15	3	877888877
5	14	4	885329322
5	9	2	884114233
5	5	3	874791805
5	12	1	875333916
5	11	5	884921594
5	13	5	879741196
5	1	5	879641194
5	4	1	886519097
5	2	3	882823437
5	10	4	886271884
6	13	2	876535131
6	12	4	890618898
6	11	5	885853415
6	6	2	888205088
6	7	5	888205088
6	9	2	880037164
7	2	4	879877127
7	3	5	880474293
7	15	3	881107687
7	5	4	881103977
7	9	3	881171009
7	8	1	879667584
7	14	4	884112673
7	6	3	882141053
7	11	4	884920949
